"vote";"staendeja";"canton";"suffrage";"Abgegebene.Stimmen";"Stimmbeteiligung";"valid";"Ja.Stimmen";"Nein.Stimmen";"Ja";"result";"resultnum";"halb";"ling";"nr";"datum"
"21.05.2017 Energiegesetz";19.5;"Aargau";420491;177153;0.421;176336;85056;91280;0.482;"Nein";0;1;"d";19;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Appenzell Ausserrhoden";38800;17403;0.449;17314;9323;7991;0.538;"Ja";0.5;0.5;"d";15;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Appenzell Innerrhoden";11765;4209;0.358;4112;2303;1809;0.56;"Ja";0.5;0.5;"d";16;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Basel-Landschaft";188903;80920;0.428;79142;42251;36891;0.534;"Ja";0.5;0.5;"d";13;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Basel-Stadt";113968;56077;0.492;55155;34995;20160;0.634;"Ja";0.5;0.5;"d";12;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Bern / Berne";733996;301445;0.411;299022;166089;132933;0.555;"Ja";1;1;"d";2;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Fribourg / Freiburg";200033;77622;0.388;76726;48468;28258;0.632;"Ja";1;1;"l";10;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Genève";257536;111312;0.432;109324;79311;30013;0.725;"Ja";1;1;"l";25;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Glarus";26380;9459;0.359;9419;4119;5300;0.437;"Nein";0;1;"d";8;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Graubünden / Grigioni / Grischun";138212;53581;0.388;52711;30963;21748;0.587;"Ja";1;1;"l";18;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Jura";52701;19890;0.377;19616;12304;7312;0.627;"Ja";1;1;"l";26;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Luzern";274607;125011;0.455;123528;72209;51319;0.585;"Ja";1;1;"d";3;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Neuchâtel";112089;43408;0.387;42979;29921;13058;0.696;"Ja";1;1;"l";24;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Nidwalden";31047;14016;0.451;13809;6983;6826;0.506;"Ja";0.5;0.5;"d";7;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Obwalden";26573;13099;0.493;12779;6364;6415;0.498;"Nein";0;0.5;"d";6;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Schaffhausen";51493;33535;0.651;31757;16251;15506;0.512;"Ja";1;1;"d";14;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Schweiz";5356575;2297296;0.429;2271316;1322263;949053;0.582;"Ja";1;1;"l";27;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Schwyz";103713;48754;0.47;48529;21452;27077;0.442;"Nein";0;1;"d";5;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Solothurn";178898;77836;0.435;77120;39152;37968;0.508;"Ja";1;1;"d";11;2017-05-21
"21.05.2017 Energiegesetz";19.5;"St. Gallen";320996;131327;0.409;130869;68346;62523;0.522;"Ja";1;1;"d";17;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Thurgau";170472;67373;0.395;66071;33955;32116;0.514;"Ja";1;1;"d";20;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Ticino";220335;93150;0.423;91390;51896;39494;0.568;"Ja";1;1;"l";21;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Uri";26568;10017;0.377;9915;5128;4787;0.517;"Ja";1;1;"d";4;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Valais / Wallis";219864;93146;0.424;91245;57831;33414;0.634;"Ja";1;1;"l";23;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Vaud";438711;189123;0.431;186981;137471;49510;0.735;"Ja";1;1;"l";22;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Zug";75931;35743;0.471;35546;19139;16407;0.538;"Ja";1;1;"d";9;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Zürich";922493;412687;0.447;409921;240983;168938;0.588;"Ja";1;1;"d";1;2017-05-21
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Aargau";419707;181774;0.433;180888;96318;84570;0.532;"Ja";1;1;"d";19;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Aargau";419707;180615;0.43;176999;111760;65239;0.631;"Ja";1;1;"d";19;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Aargau";419707;180642;0.43;176303;69088;107215;0.392;"Nein";0;1;"d";19;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Appenzell Ausserrhoden";38781;19572;0.505;19498;9931;9567;0.509;"Ja";0.5;0.5;"d";15;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Appenzell Ausserrhoden";38781;19374;0.5;19162;12123;7039;0.633;"Ja";0.5;0.5;"d";15;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Appenzell Ausserrhoden";38781;19374;0.5;19084;8177;10907;0.428;"Nein";0;0.5;"d";15;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Appenzell Innerrhoden";11735;4740;0.404;4657;2030;2627;0.436;"Nein";0;0.5;"d";16;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Appenzell Innerrhoden";11735;4729;0.403;4596;2998;1598;0.652;"Ja";0.5;0.5;"d";16;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Appenzell Innerrhoden";11735;4679;0.399;4557;2221;2336;0.487;"Nein";0;0.5;"d";16;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Basel-Landschaft";188857;86616;0.459;84735;48078;36657;0.567;"Ja";0.5;0.5;"d";13;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Basel-Landschaft";188857;86009;0.455;83099;47166;35933;0.568;"Ja";0.5;0.5;"d";13;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Basel-Landschaft";188857;86106;0.456;83031;31261;51770;0.376;"Nein";0;0.5;"d";13;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Basel-Stadt";113943;58677;0.515;58193;39305;18888;0.675;"Ja";0.5;0.5;"d";12;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Basel-Stadt";113943;58677;0.515;56083;30034;26049;0.536;"Ja";0.5;0.5;"d";12;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Basel-Stadt";113943;58677;0.515;56374;23965;32409;0.425;"Nein";0;0.5;"d";12;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Bern / Berne";732658;318300;0.434;316382;195868;120514;0.619;"Ja";1;1;"d";2;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Bern / Berne";732658;318299;0.434;310613;183610;127003;0.591;"Ja";1;1;"d";2;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Bern / Berne";732658;318297;0.434;309970;97798;212172;0.316;"Nein";0;1;"d";2;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Fribourg / Freiburg";199045;86194;0.433;85485;56155;29330;0.657;"Ja";1;1;"l";10;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Fribourg / Freiburg";199045;85915;0.432;83672;50376;33296;0.602;"Ja";1;1;"l";10;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Fribourg / Freiburg";199045;85834;0.431;83073;30544;52529;0.368;"Nein";0;1;"l";10;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Genève";256614;126806;0.494;125919;93155;32764;0.74;"Ja";1;1;"l";25;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Genève";256614;126806;0.494;122348;69525;52823;0.568;"Ja";1;1;"l";25;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Genève";256614;126806;0.494;122800;58614;64186;0.477;"Nein";0;1;"l";25;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Glarus";26316;10433;0.396;10370;5144;5226;0.496;"Nein";0;1;"d";8;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Glarus";26316;10411;0.396;10278;6782;3496;0.66;"Ja";1;1;"d";8;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Glarus";26316;10366;0.394;10163;3867;6296;0.38;"Nein";0;1;"d";8;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Graubünden / Grigioni / Grischun";138202;69888;0.506;68752;39374;29378;0.573;"Ja";1;1;"l";18;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Graubünden / Grigioni / Grischun";138202;68363;0.495;65916;39726;26190;0.603;"Ja";1;1;"l";18;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Graubünden / Grigioni / Grischun";138202;68492;0.496;65985;25123;40862;0.381;"Nein";0;1;"l";18;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Jura";52593;21918;0.417;21721;15469;6252;0.712;"Ja";1;1;"l";26;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Jura";52593;21868;0.416;21181;13096;8085;0.618;"Ja";1;1;"l";26;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Jura";52593;21838;0.415;21007;6949;14058;0.331;"Nein";0;1;"l";26;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Luzern";273901;127860;0.467;126714;71644;55070;0.565;"Ja";1;1;"d";3;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Luzern";273901;127053;0.464;124629;78957;45672;0.634;"Ja";1;1;"d";3;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Luzern";273901;126955;0.464;124207;54135;70072;0.436;"Nein";0;1;"d";3;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Neuchâtel";112040;58756;0.524;58311;43814;14497;0.751;"Ja";1;1;"l";24;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Neuchâtel";112040;58015;0.518;56366;43362;13004;0.769;"Ja";1;1;"l";24;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Neuchâtel";112040;58157;0.519;54788;23985;30803;0.438;"Nein";0;1;"l";24;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Nidwalden";31117;15214;0.489;15017;7562;7455;0.504;"Ja";0.5;0.5;"d";7;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Nidwalden";31117;15145;0.487;14804;9819;4985;0.663;"Ja";0.5;0.5;"d";7;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Nidwalden";31117;15107;0.485;14628;7443;7185;0.509;"Ja";0.5;0.5;"d";7;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Obwalden";26489;12992;0.49;12794;5940;6854;0.464;"Nein";0;0.5;"d";6;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Obwalden";26489;12871;0.486;12525;7704;4821;0.615;"Ja";0.5;0.5;"d";6;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Obwalden";26489;12891;0.487;12473;5988;6485;0.48;"Nein";0;0.5;"d";6;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Schaffhausen";50658;33273;0.657;32015;17048;14967;0.533;"Ja";1;1;"d";14;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Schaffhausen";50658;33203;0.655;30670;17477;13193;0.57;"Ja";1;1;"d";14;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Schaffhausen";50658;33168;0.655;30572;12854;17718;0.42;"Nein";0;1;"d";14;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Schweiz";5344186;2503450;0.468;2482471;1499627;982844;0.604;"Ja";1;1;"l";27;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Schweiz";5344186;2491320;0.466;2427529;1503746;923783;0.619;"Ja";1;1;"l";27;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Schweiz";5344186;2490785;0.466;2417473;989311;1428162;0.409;"Nein";0;1;"l";27;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Schwyz";103739;49065;0.473;48901;22377;26524;0.458;"Nein";0;1;"d";5;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Schwyz";103739;48713;0.47;48191;31272;16919;0.649;"Ja";1;1;"d";5;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Schwyz";103739;48570;0.468;47911;22599;25312;0.472;"Nein";0;1;"d";5;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Solothurn";178546;82520;0.462;82221;44789;37432;0.545;"Ja";1;1;"d";11;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Solothurn";178546;82183;0.46;81002;48087;32915;0.594;"Ja";1;1;"d";11;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Solothurn";178546;82108;0.46;80701;27494;53207;0.341;"Nein";0;1;"d";11;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"St. Gallen";320519;142653;0.445;142137;70821;71316;0.498;"Nein";0;1;"d";17;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"St. Gallen";320519;141790;0.442;139774;84247;55527;0.603;"Ja";1;1;"d";17;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"St. Gallen";320519;141708;0.442;139521;57653;81868;0.413;"Nein";0;1;"d";17;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Thurgau";170076;74292;0.437;72996;36486;36510;0.5;"Nein";0;1;"d";20;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Thurgau";170076;73867;0.434;71779;42469;29310;0.592;"Ja";1;1;"d";20;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Thurgau";170076;73826;0.434;71343;28919;42424;0.405;"Nein";0;1;"d";20;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Ticino";219924;100503;0.457;99225;49778;49447;0.502;"Ja";1;1;"l";21;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Ticino";219924;100446;0.457;97258;58856;38402;0.605;"Ja";1;1;"l";21;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Ticino";219924;100423;0.457;95987;49154;46833;0.512;"Ja";1;1;"l";21;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Uri";26551;10366;0.39;10240;4766;5474;0.465;"Nein";0;1;"d";4;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Uri";26551;10241;0.386;10025;5721;4304;0.571;"Ja";1;1;"d";4;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Uri";26551;10240;0.386;9976;3738;6238;0.375;"Nein";0;1;"d";4;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Valais / Wallis";219051;107751;0.492;105683;64389;41294;0.609;"Ja";1;1;"l";23;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Valais / Wallis";219051;107565;0.491;103805;65757;38048;0.633;"Ja";1;1;"l";23;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Valais / Wallis";219051;107561;0.491;102981;47965;55016;0.466;"Nein";0;1;"l";23;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Vaud";436530;212631;0.487;211034;153704;57330;0.728;"Ja";1;1;"l";22;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Vaud";436530;212432;0.487;205646;152719;52927;0.743;"Ja";1;1;"l";22;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Vaud";436530;212125;0.486;202427;103873;98554;0.513;"Ja";1;1;"l";22;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Zug";76119;40653;0.534;40530;22613;17917;0.558;"Ja";1;1;"d";9;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Zug";76119;40308;0.53;39778;26507;13271;0.666;"Ja";1;1;"d";9;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Zug";76119;40356;0.53;39750;21585;18165;0.543;"Ja";1;1;"d";9;2017-02-12
"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration";17;"Zürich";920475;450003;0.489;448053;283069;164984;0.632;"Ja";1;1;"d";1;2017-02-12
"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr";23;"Zürich";920475;446422;0.485;437330;263596;173734;0.603;"Ja";1;1;"d";1;2017-02-12
"12.02.2017 Unternehmenssteuerreform III";3.5;"Zürich";920475;446479;0.485;437861;164319;273542;0.375;"Nein";0;1;"d";1;2017-02-12
"27.11.2016 Atomausstiegsinitiative";5;"Aargau";419296;183417;0.437;182542;67640;114902;0.371;"Nein";0;1;"d";19;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Appenzell Ausserrhoden";38747;17404;0.449;17324;7374;9950;0.426;"Nein";0;0.5;"d";15;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Appenzell Innerrhoden";11703;4505;0.385;4429;1514;2915;0.342;"Nein";0;0.5;"d";16;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Basel-Landschaft";188725;80577;0.427;78906;39797;39109;0.504;"Ja";0.5;0.5;"d";13;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Basel-Stadt";114182;60409;0.529;59997;36284;23713;0.605;"Ja";0.5;0.5;"d";12;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Bern / Berne";732704;318610;0.435;316539;139516;177023;0.441;"Nein";0;1;"d";2;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Fribourg / Freiburg";198479;89858;0.453;88911;43120;45791;0.485;"Nein";0;1;"l";10;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Genève";255267;115818;0.454;114263;67374;46889;0.59;"Ja";1;1;"l";25;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Glarus";26348;10168;0.386;10126;3902;6224;0.385;"Nein";0;1;"d";8;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Graubünden / Grigioni / Grischun";137699;59979;0.436;59179;26069;33110;0.441;"Nein";0;1;"l";18;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Jura";52570;22107;0.421;21924;12600;9324;0.575;"Ja";1;1;"l";26;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Luzern";273702;121374;0.443;120306;46898;73408;0.39;"Nein";0;1;"d";3;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Neuchâtel";112006;50680;0.452;50296;28559;21737;0.568;"Ja";1;1;"l";24;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Nidwalden";31015;15276;0.493;15045;5259;9786;0.35;"Nein";0;0.5;"d";7;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Obwalden";26485;13204;0.499;12965;4554;8411;0.351;"Nein";0;0.5;"d";6;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Schaffhausen";51408;32389;0.63;30886;14474;16412;0.469;"Nein";0;1;"d";14;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Schweiz";5336711;2421998;0.454;2400269;1099409;1300860;0.458;"Nein";0;1;"l";27;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Schwyz";103338;48725;0.472;48580;15501;33079;0.319;"Nein";0;1;"d";5;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Solothurn";178722;80576;0.451;80331;31710;48621;0.395;"Nein";0;1;"d";11;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"St. Gallen";319617;140773;0.44;140346;55942;84404;0.399;"Nein";0;1;"d";17;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Thurgau";169740;74346;0.438;73022;29364;43658;0.402;"Nein";0;1;"d";20;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Ticino";220035;97290;0.442;96422;44603;51819;0.463;"Nein";0;1;"l";21;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Uri";26543;10576;0.398;10477;4243;6234;0.405;"Nein";0;1;"d";4;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Valais / Wallis";218830;105645;0.483;103412;48338;55074;0.467;"Nein";0;1;"l";23;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Vaud";435066;208418;0.479;206278;112565;93713;0.546;"Ja";1;1;"l";22;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Zug";75678;38597;0.51;38436;14573;23863;0.379;"Nein";0;1;"d";9;2016-11-27
"27.11.2016 Atomausstiegsinitiative";5;"Zürich";918806;421277;0.459;419327;197636;221691;0.471;"Nein";0;1;"d";1;2016-11-27
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Aargau";418359;164867;0.394;163918;59533;104385;0.363;"Nein";0;1;"d";19;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Aargau";418359;164366;0.393;162912;49426;113486;0.303;"Nein";0;1;"d";19;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Aargau";418359;163947;0.392;161140;104500;56640;0.649;"Ja";1;1;"d";19;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Appenzell Ausserrhoden";38768;16617;0.429;16520;5611;10909;0.34;"Nein";0;0.5;"d";15;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Appenzell Ausserrhoden";38768;16522;0.426;16388;5379;11009;0.328;"Nein";0;0.5;"d";15;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Appenzell Ausserrhoden";38768;16471;0.425;16223;9941;6282;0.613;"Ja";0.5;0.5;"d";15;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Appenzell Innerrhoden";11692;4010;0.343;3949;882;3067;0.223;"Nein";0;0.5;"d";16;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Appenzell Innerrhoden";11692;3980;0.34;3907;918;2989;0.235;"Nein";0;0.5;"d";16;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Appenzell Innerrhoden";11692;3992;0.341;3885;2546;1339;0.655;"Ja";0.5;0.5;"d";16;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Basel-Landschaft";188591;78967;0.419;77140;32542;44598;0.422;"Nein";0;0.5;"d";13;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Basel-Landschaft";188591;78562;0.417;76400;27135;49265;0.355;"Nein";0;0.5;"d";13;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Basel-Landschaft";188591;78480;0.416;75598;48048;27550;0.636;"Ja";0.5;0.5;"d";13;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Basel-Stadt";114227;54875;0.48;54122;26562;27560;0.491;"Nein";0;0.5;"d";12;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Basel-Stadt";114227;54875;0.48;53918;25365;28553;0.47;"Nein";0;0.5;"d";12;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Basel-Stadt";114227;54875;0.48;53287;29299;23988;0.55;"Ja";0.5;0.5;"d";12;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Bern / Berne";732699;295960;0.404;292926;116671;176255;0.398;"Nein";0;1;"d";2;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Bern / Berne";732699;295961;0.404;291870;109033;182837;0.374;"Nein";0;1;"d";2;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Bern / Berne";732699;295960;0.404;288746;190299;98447;0.659;"Ja";1;1;"d";2;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Fribourg / Freiburg";198106;80887;0.408;79694;34130;45564;0.428;"Nein";0;1;"l";10;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Fribourg / Freiburg";198106;80774;0.408;79203;29628;49575;0.374;"Nein";0;1;"l";10;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Fribourg / Freiburg";198106;80762;0.408;78802;52989;25813;0.672;"Ja";1;1;"l";10;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Genève";253988;115972;0.457;113979;61039;52940;0.536;"Ja";1;1;"l";25;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Genève";253988;115972;0.457;112608;58453;54155;0.519;"Ja";1;1;"l";25;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Genève";253988;115972;0.457;112067;68489;43578;0.611;"Ja";1;1;"l";25;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Glarus";26318;8687;0.33;8625;3186;5439;0.369;"Nein";0;1;"d";8;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Glarus";26318;8686;0.33;8612;2687;5925;0.312;"Nein";0;1;"d";8;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Glarus";26318;8673;0.33;8510;5345;3165;0.628;"Ja";1;1;"d";8;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Graubünden / Grigioni / Grischun";137697;51164;0.372;50379;17396;32983;0.345;"Nein";0;1;"l";18;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Graubünden / Grigioni / Grischun";137697;50731;0.368;49650;15118;34532;0.304;"Nein";0;1;"l";18;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Graubünden / Grigioni / Grischun";137697;50425;0.366;48703;30959;17744;0.636;"Ja";1;1;"l";18;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Jura";52552;20202;0.384;19956;11880;8076;0.595;"Ja";1;1;"l";26;2016-09-25
"25.09.2016 Initiative «Grüne Wirtschaft»";1;"Jura";52552;20125;0.383;19613;8783;10830;0.448;"Nein";0;1;"l";26;2016-09-25
"25.09.2016 Nachrichtendienstgesetz";23;"Jura";52552;20120;0.383;19496;12325;7171;0.632;"Ja";1;1;"l";26;2016-09-25
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";5;"Luzern";273315;113600;0.416;112269;34628;77641;0.308;"Nein";0;1;"d";3;2016-09-25
