Kanton;Wahljahr;Total;FDP;CVP;SP;SVP;LPS;LdU;EVP;CSP;GLP;BDP;GPS;DSP;PdA;PSA;POCH;FGA;Sol.;SD;Rep.;EDU;FPS;Lega;MCR;LS;weitere;kleine Linksparteien;kleine Rechtsparteien
Basel-Stadt;2008;100;11;8;32;14;9;0;4;NA;5;NA;13;3;0;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;1;3;0
Basel-Stadt;2012;100;12;8;33;15;10;0;1;NA;5;NA;13;0;0;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;3;0;0
Basel-Stadt;2016;100;10;7;34;15;14;0;1;NA;4;NA;14;0;0;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;1;0;0
Bern;1970;200;37;10;63;79;NA;5;2;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;0;NA;NA;NA;4;0;0
Bern;1974;200;37;10;59;79;NA;2;3;2;0;0;0;NA;NA;0;1;0;NA;5;NA;0;0;NA;NA;NA;2;1;5
Bern;1978;200;40;10;57;75;NA;3;4;2;0;0;0;NA;NA;0;1;1;NA;1;NA;1;0;NA;NA;NA;5;2;2
Bern;1982;200;42;6;52;78;NA;2;7;0;0;0;0;NA;NA;1;1;3;NA;4;NA;1;0;NA;NA;NA;3;5;5
Bern;1986;200;40;6;49;69;NA;4;6;0;0;0;14;NA;NA;1;2;0;NA;5;NA;1;0;NA;NA;NA;3;3;6
Bern;1990;200;35;3;57;71;NA;3;4;0;0;0;14;NA;NA;2;0;3;NA;3;NA;2;1;NA;NA;NA;2;5;6
Bern;1994;200;35;2;54;71;NA;2;7;0;0;0;10;NA;NA;2;0;5;NA;2;NA;3;6;NA;NA;NA;1;7;11
Bern;1998;200;38;2;58;66;NA;0;8;0;0;0;9;NA;NA;2;0;5;NA;3;NA;4;4;NA;NA;NA;1;7;11
Bern;2002;200;36;2;58;67;NA;0;11;0;0;0;15;NA;NA;2;0;0;NA;3;NA;4;0;NA;NA;NA;2;2;7
Bern;2006;160;26;1;42;47;NA;0;13;0;0;0;19;NA;NA;3;0;0;NA;1;NA;6;1;NA;NA;NA;1;3;8
Bern;2010;160;17;1;35;44;NA;0;10;0;4;25;16;NA;NA;3;0;0;NA;0;NA;5;0;NA;NA;NA;0;3;5
Bern;2014;160;17;0;33;49;NA;0;12;0;11;14;16;NA;NA;3;0;0;NA;0;NA;5;0;NA;NA;NA;0;3;5
Bern;2018;160;20;0;38;46;NA;0;10;0;11;13;14;NA;NA;2;0;0;NA;0;NA;5;0;NA;NA;NA;0;2;5
Freiburg;1971;130;30;57;29;9;NA;NA;0;5;0;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Freiburg;1976;130;31;57;29;9;NA;NA;0;4;0;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Freiburg;1981;130;29;47;33;9;NA;NA;0;12;0;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Freiburg;1986;130;27;50;32;10;NA;NA;0;11;0;0;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Freiburg;1991;130;24;46;29;10;NA;NA;0;9;0;0;0;7;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;1;11;0
Freiburg;1996;130;25;45;32;8;NA;NA;0;10;0;0;2;5;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3;5;0
Freiburg;2001;130;26;45;26;16;NA;NA;0;10;0;0;1;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;4;0
Freiburg;2006;110;19;37;25;18;NA;NA;1;4;0;0;3;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3;0;0
Freiburg;2011;110;17;31;29;21;NA;NA;0;4;2;2;3;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Freiburg;2016;110;21;27;28;21;NA;NA;0;4;1;0;6;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Genf;1969;100;23;20;21;0;18;NA;NA;NA;NA;NA;0;NA;18;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;18;0
Genf;1973;100;22;17;18;0;16;NA;NA;NA;NA;NA;0;NA;17;NA;NA;NA;0;NA;10;NA;NA;NA;0;NA;0;17;10
Genf;1977;100;17;15;24;0;20;NA;NA;NA;NA;NA;0;NA;16;NA;NA;NA;0;NA;8;NA;NA;NA;0;NA;0;16;8
Genf;1981;100;19;13;26;0;25;NA;NA;NA;NA;NA;0;NA;10;NA;NA;NA;0;NA;7;NA;NA;NA;0;NA;0;10;7
Genf;1985;100;15;13;18;0;19;NA;NA;NA;NA;NA;8;NA;8;NA;NA;NA;0;NA;19;NA;NA;NA;0;NA;0;8;19
Genf;1989;100;13;14;21;0;22;NA;NA;NA;NA;NA;13;NA;8;NA;NA;NA;0;NA;9;NA;NA;NA;0;NA;0;8;9
Genf;1993;100;15;14;15;0;27;NA;NA;NA;NA;NA;8;NA;21;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;21;0
Genf;1997;100;14;12;22;0;23;NA;NA;NA;NA;NA;10;NA;19;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;19;0
Genf;2001;100;12;12;19;10;23;NA;NA;NA;NA;NA;11;NA;13;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;13;0
Genf;2005;100;12;12;17;11;23;NA;NA;NA;NA;NA;16;NA;0;NA;NA;NA;0;NA;0;NA;NA;NA;9;NA;0;0;9
Genf;2009;100;11;11;15;9;20;NA;NA;NA;NA;NA;17;NA;0;NA;NA;NA;0;NA;0;NA;NA;NA;17;NA;0;0;17
Genf;2013;100;24;11;15;11;0;NA;NA;NA;NA;NA;10;NA;1;NA;NA;NA;5;NA;0;NA;NA;NA;20;NA;3;6;20
Genf;2018;100;28;12;17;8;0;NA;NA;NA;NA;NA;15;NA;1;NA;NA;NA;6;NA;0;NA;NA;NA;11;NA;2;7;11
Glarus;1971;77;27;14;12;22;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Glarus;1974;77;25;16;15;19;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Glarus;1978;77;25;17;15;20;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Glarus;1982;80;27;17;14;22;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Glarus;1986;80;24;17;13;24;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Glarus;1990;80;23;15;15;22;NA;NA;NA;NA;0;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Glarus;1994;80;26;15;14;21;NA;NA;NA;NA;0;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Glarus;1998;80;24;13;15;21;NA;NA;NA;NA;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Glarus;2002;80;26;13;12;21;NA;NA;NA;NA;0;0;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Glarus;2006;80;23;12;12;26;NA;NA;NA;NA;0;0;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Glarus;2010;60;12;6;8;17;NA;NA;NA;NA;0;10;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Glarus;2014;60;12;6;7;17;NA;NA;NA;NA;2;9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Glarus;2018;60;11;6;8;16;NA;NA;NA;NA;4;8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Graubünden;1969;113;32;36;8;37;NA;0;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Graubünden;1971;113;29;38;8;38;NA;0;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Graubünden;1973;120;31;43;8;38;NA;0;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Graubünden;1975;120;31;39;7;42;NA;1;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Graubünden;1977;120;27;41;8;43;NA;1;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Graubünden;1979;120;28;39;9;42;NA;1;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Graubünden;1981;120;28;39;10;40;NA;1;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Graubünden;1983;120;28;36;9;42;NA;1;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;4;0;0
Graubünden;1985;120;28;40;5;42;NA;1;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;4;0;0
Graubünden;1987;120;30;38;10;40;NA;0;NA;0;0;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Graubünden;1989;120;27;38;6;41;NA;0;NA;3;0;0;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;4;0
Graubünden;1991;120;24;39;8;42;NA;0;NA;3;0;0;NA;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;3;0
Graubünden;1994;120;26;38;7;41;NA;0;NA;3;0;0;NA;2;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3;2;0
Graubünden;1997;120;27;38;10;40;NA;0;NA;3;0;0;NA;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0
Graubünden;2000;120;34;37;13;33;NA;0;NA;0;0;0;NA;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0
Graubünden;2003;120;29;40;13;33;NA;0;NA;0;0;0;NA;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;4;1;0
Graubünden;2006;120;33;35;14;32;NA;0;NA;0;0;0;NA;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;5;1;0
Graubünden;2010;120;38;33;12;4;NA;0;NA;0;2;26;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0
